training_name,reference_date,location,horizon,WIS,MAE
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,25,1,0.1138827565200336,0.06899287148695166
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,25,2,0.1743153214010866,0.31093893461604827
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,25,3,0.11107019870783268,0.09051400754083216
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,26,0,0.2868405332729616,0.5456117398514064
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,26,1,0.13543499160378406,0.22403204537532506
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,26,2,0.16063795204620085,0.29031019485805043
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,26,3,0.15264748171948206,0.26527378063112295
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,27,0,1.4755052050069215,1.7194388076484288
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,27,1,0.6861226782103304,1.0811191312205926
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,27,2,0.288373449264638,0.5447271754416718
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,27,3,0.3750510875572906,0.6530527233580674
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,28,0,0.14922720920119106,0.23457224713783287
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,28,1,0.1263546833298439,0.1846336965523343
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,28,2,0.10395746300656111,0.08388148398070205
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,28,3,0.11188629330335623,0.011469027348764538
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,29,0,0.09039610359280446,0.16907633004393396
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,29,1,0.08289452639157067,0.005540180375615211
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,29,2,0.129186715959319,0.21868920096482958
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,29,3,0.08351120024951762,0.10054122922187725
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,30,0,0.45072954930338927,0.8888917576860407
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,30,1,0.21733747005250637,0.36000273403140703
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,30,2,0.32003388439286,0.5306282510621704
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,30,3,0.28976712230907903,0.2821418920761656
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,31,0,0.19709643266796642,0.2548922496287902
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,31,1,0.1841833596308302,0.30448919076816217
exclude_None-a_garch_0.0-b_garch_0.0_phi_0.25,2026-10-24,31,2,0.2194698082071524,0.0
