,reference_date,target,horizon,location,output_type,output_type_id,value,target_end_date
219,2026-03-28,wk inc flu hosp,0,12,quantile,0.55,3730,2026-03-28
220,2026-03-28,wk inc flu hosp,0,12,quantile,0.6,3763,2026-03-28
221,2026-03-28,wk inc flu hosp,0,12,quantile,0.65,3797,2026-03-28
222,2026-03-28,wk inc flu hosp,0,12,quantile,0.7,3816,2026-03-28
223,2026-03-28,wk inc flu hosp,0,12,quantile,0.75,3827,2026-03-28
224,2026-03-28,wk inc flu hosp,0,12,quantile,0.8,3839,2026-03-28
225,2026-03-28,wk inc flu hosp,0,12,quantile,0.85,3850,2026-03-28
226,2026-03-28,wk inc flu hosp,0,12,quantile,0.9,3862,2026-03-28
227,2026-03-28,wk inc flu hosp,0,12,quantile,0.95,3873,2026-03-28
228,2026-03-28,wk inc flu hosp,0,12,quantile,0.975,3879,2026-03-28
229,2026-03-28,wk inc flu hosp,0,12,quantile,0.99,3883,2026-03-28
230,2026-03-28,wk inc flu hosp,0,13,quantile,0.01,635,2026-03-28
231,2026-03-28,wk inc flu hosp,0,13,quantile,0.025,642,2026-03-28
232,2026-03-28,wk inc flu hosp,0,13,quantile,0.05,653,2026-03-28
233,2026-03-28,wk inc flu hosp,0,13,quantile,0.1,676,2026-03-28
234,2026-03-28,wk inc flu hosp,0,13,quantile,0.15,699,2026-03-28
235,2026-03-28,wk inc flu hosp,0,13,quantile,0.2,722,2026-03-28
236,2026-03-28,wk inc flu hosp,0,13,quantile,0.25,746,2026-03-28
237,2026-03-28,wk inc flu hosp,0,13,quantile,0.3,769,2026-03-28
238,2026-03-28,wk inc flu hosp,0,13,quantile,0.35,788,2026-03-28
239,2026-03-28,wk inc flu hosp,0,13,quantile,0.4,801,2026-03-28
240,2026-03-28,wk inc flu hosp,0,13,quantile,0.45,813,2026-03-28
241,2026-03-28,wk inc flu hosp,0,13,quantile,0.5,826,2026-03-28
242,2026-03-28,wk inc flu hosp,0,13,quantile,0.55,839,2026-03-28
243,2026-03-28,wk inc flu hosp,0,13,quantile,0.6,851,2026-03-28
244,2026-03-28,wk inc flu hosp,0,13,quantile,0.65,864,2026-03-28
245,2026-03-28,wk inc flu hosp,0,13,quantile,0.7,876,2026-03-28
246,2026-03-28,wk inc flu hosp,0,13,quantile,0.75,889,2026-03-28
247,2026-03-28,wk inc flu hosp,0,13,quantile,0.8,902,2026-03-28
248,2026-03-28,wk inc flu hosp,0,13,quantile,0.85,914,2026-03-28
249,2026-03-28,wk inc flu hosp,0,13,quantile,0.9,927,2026-03-28
250,2026-03-28,wk inc flu hosp,0,13,quantile,0.95,939,2026-03-28
251,2026-03-28,wk inc flu hosp,0,13,quantile,0.975,946,2026-03-28
252,2026-03-28,wk inc flu hosp,0,13,quantile,0.99,949,2026-03-28
253,2026-03-28,wk inc flu hosp,0,15,quantile,0.01,28,2026-03-28
254,2026-03-28,wk inc flu hosp,0,15,quantile,0.025,28,2026-03-28
255,2026-03-28,wk inc flu hosp,0,15,quantile,0.05,28,2026-03-28
256,2026-03-28,wk inc flu hosp,0,15,quantile,0.1,28,2026-03-28
257,2026-03-28,wk inc flu hosp,0,15,quantile,0.15,28,2026-03-28
258,2026-03-28,wk inc flu hosp,0,15,quantile,0.2,28,2026-03-28
259,2026-03-28,wk inc flu hosp,0,15,quantile,0.25,28,2026-03-28
260,2026-03-28,wk inc flu hosp,0,15,quantile,0.3,28,2026-03-28
261,2026-03-28,wk inc flu hosp,0,15,quantile,0.35,29,2026-03-28
262,2026-03-28,wk inc flu hosp,0,15,quantile,0.4,31,2026-03-28
263,2026-03-28,wk inc flu hosp,0,15,quantile,0.45,33,2026-03-28
264,2026-03-28,wk inc flu hosp,0,15,quantile,0.5,35,2026-03-28
265,2026-03-28,wk inc flu hosp,0,15,quantile,0.55,37,2026-03-28
266,2026-03-28,wk inc flu hosp,0,15,quantile,0.6,39,2026-03-28
267,2026-03-28,wk inc flu hosp,0,15,quantile,0.65,41,2026-03-28
268,2026-03-28,wk inc flu hosp,0,15,quantile,0.7,44,2026-03-28
269,2026-03-28,wk inc flu hosp,0,15,quantile,0.75,47,2026-03-28
270,2026-03-28,wk inc flu hosp,0,15,quantile,0.8,50,2026-03-28
271,2026-03-28,wk inc flu hosp,0,15,quantile,0.85,54,2026-03-28
272,2026-03-28,wk inc flu hosp,0,15,quantile,0.9,57,2026-03-28
273,2026-03-28,wk inc flu hosp,0,15,quantile,0.95,60,2026-03-28
274,2026-03-28,wk inc flu hosp,0,15,quantile,0.975,61,2026-03-28
275,2026-03-28,wk inc flu hosp,0,15,quantile,0.99,62,2026-03-28
276,2026-03-28,wk inc flu hosp,0,16,quantile,0.01,302,2026-03-28
277,2026-03-28,wk inc flu hosp,0,16,quantile,0.025,305,2026-03-28
278,2026-03-28,wk inc flu hosp,0,16,quantile,0.05,308,2026-03-28
279,2026-03-28,wk inc flu hosp,0,16,quantile,0.1,316,2026-03-28
280,2026-03-28,wk inc flu hosp,0,16,quantile,0.15,323,2026-03-28
281,2026-03-28,wk inc flu hosp,0,16,quantile,0.2,330,2026-03-28
282,2026-03-28,wk inc flu hosp,0,16,quantile,0.25,338,2026-03-28
283,2026-03-28,wk inc flu hosp,0,16,quantile,0.3,345,2026-03-28
284,2026-03-28,wk inc flu hosp,0,16,quantile,0.35,351,2026-03-28
285,2026-03-28,wk inc flu hosp,0,16,quantile,0.4,353,2026-03-28
286,2026-03-28,wk inc flu hosp,0,16,quantile,0.45,355,2026-03-28
287,2026-03-28,wk inc flu hosp,0,16,quantile,0.5,357,2026-03-28
288,2026-03-28,wk inc flu hosp,0,16,quantile,0.55,359,2026-03-28
289,2026-03-28,wk inc flu hosp,0,16,quantile,0.6,361,2026-03-28
290,2026-03-28,wk inc flu hosp,0,16,quantile,0.65,363,2026-03-28
291,2026-03-28,wk inc flu hosp,0,16,quantile,0.7,368,2026-03-28
292,2026-03-28,wk inc flu hosp,0,16,quantile,0.75,374,2026-03-28
293,2026-03-28,wk inc flu hosp,0,16,quantile,0.8,381,2026-03-28
294,2026-03-28,wk inc flu hosp,0,16,quantile,0.85,387,2026-03-28
295,2026-03-28,wk inc flu hosp,0,16,quantile,0.9,393,2026-03-28
296,2026-03-28,wk inc flu hosp,0,16,quantile,0.95,400,2026-03-28
297,2026-03-28,wk inc flu hosp,0,16,quantile,0.975,403,2026-03-28
298,2026-03-28,wk inc flu hosp,0,16,quantile,0.99,405,2026-03-28
299,2026-03-28,wk inc flu hosp,0,17,quantile,0.01,1759,2026-03-28
300,2026-03-28,wk inc flu hosp,0,17,quantile,0.025,1761,2026-03-28
301,2026-03-28,wk inc flu hosp,0,17,quantile,0.05,1765,2026-03-28
302,2026-03-28,wk inc flu hosp,0,17,quantile,0.1,1774,2026-03-28
303,2026-03-28,wk inc flu hosp,0,17,quantile,0.15,1782,2026-03-28
304,2026-03-28,wk inc flu hosp,0,17,quantile,0.2,1791,2026-03-28
305,2026-03-28,wk inc flu hosp,0,17,quantile,0.25,1799,2026-03-28
306,2026-03-28,wk inc flu hosp,0,17,quantile,0.3,1807,2026-03-28
307,2026-03-28,wk inc flu hosp,0,17,quantile,0.35,1815,2026-03-28
308,2026-03-28,wk inc flu hosp,0,17,quantile,0.4,1820,2026-03-28
309,2026-03-28,wk inc flu hosp,0,17,quantile,0.45,1825,2026-03-28
310,2026-03-28,wk inc flu hosp,0,17,quantile,0.5,1830,2026-03-28
311,2026-03-28,wk inc flu hosp,0,17,quantile,0.55,1836,2026-03-28
312,2026-03-28,wk inc flu hosp,0,17,quantile,0.6,1841,2026-03-28
313,2026-03-28,wk inc flu hosp,0,17,quantile,0.65,1846,2026-03-28
314,2026-03-28,wk inc flu hosp,0,17,quantile,0.7,1854,2026-03-28
315,2026-03-28,wk inc flu hosp,0,17,quantile,0.75,1864,2026-03-28
316,2026-03-28,wk inc flu hosp,0,17,quantile,0.8,1873,2026-03-28
317,2026-03-28,wk inc flu hosp,0,17,quantile,0.85,1883,2026-03-28
318,2026-03-28,wk inc flu hosp,0,17,quantile,0.9,1892,2026-03-28
319,2026-03-28,wk inc flu hosp,0,17,quantile,0.95,1902,2026-03-28
320,2026-03-28,wk inc flu hosp,0,17,quantile,0.975,1906,2026-03-28
321,2026-03-28,wk inc flu hosp,0,17,quantile,0.99,1909,2026-03-28
322,2026-03-28,wk inc flu hosp,0,18,quantile,0.01,1547,2026-03-28
323,2026-03-28,wk inc flu hosp,0,18,quantile,0.025,1548,2026-03-28
324,2026-03-28,wk inc flu hosp,0,18,quantile,0.05,1548,2026-03-28
325,2026-03-28,wk inc flu hosp,0,18,quantile,0.1,1549,2026-03-28
326,2026-03-28,wk inc flu hosp,0,18,quantile,0.15,1550,2026-03-28
327,2026-03-28,wk inc flu hosp,0,18,quantile,0.2,1551,2026-03-28
328,2026-03-28,wk inc flu hosp,0,18,quantile,0.25,1552,2026-03-28
329,2026-03-28,wk inc flu hosp,0,18,quantile,0.3,1553,2026-03-28
330,2026-03-28,wk inc flu hosp,0,18,quantile,0.35,1561,2026-03-28
331,2026-03-28,wk inc flu hosp,0,18,quantile,0.4,1583,2026-03-28
332,2026-03-28,wk inc flu hosp,0,18,quantile,0.45,1605,2026-03-28
333,2026-03-28,wk inc flu hosp,0,18,quantile,0.5,1628,2026-03-28
334,2026-03-28,wk inc flu hosp,0,18,quantile,0.55,1650,2026-03-28
335,2026-03-28,wk inc flu hosp,0,18,quantile,0.6,1672,2026-03-28
336,2026-03-28,wk inc flu hosp,0,18,quantile,0.65,1694,2026-03-28
337,2026-03-28,wk inc flu hosp,0,18,quantile,0.7,1721,2026-03-28
338,2026-03-28,wk inc flu hosp,0,18,quantile,0.75,1750,2026-03-28
339,2026-03-28,wk inc flu hosp,0,18,quantile,0.8,1779,2026-03-28
340,2026-03-28,wk inc flu hosp,0,18,quantile,0.85,1809,2026-03-28
341,2026-03-28,wk inc flu hosp,0,18,quantile,0.9,1838,2026-03-28
342,2026-03-28,wk inc flu hosp,0,18,quantile,0.95,1868,2026-03-28
343,2026-03-28,wk inc flu hosp,0,18,quantile,0.975,1882,2026-03-28
