,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"z[18, 2024-2025, OK]",-0.007093194891917596,0.05896649452348147,-0.10143572279314693,0.0871789947337419,691.8230716624957,354.46617055653184,1.0065862727257415,0.0022455892766077012,0.0015382620446022384
"z[18, 2024-2025, OR]",0.030195074573878853,0.0572226376751689,-0.06618843774536744,0.11552656281457566,690.5452499843315,373.29970664649903,0.9993505881486855,0.002134001095104243,0.00152262662683527
"z[18, 2024-2025, PA]",0.050463392387574475,0.057258822801814546,-0.0391415404889827,0.14150676205429988,620.1893235385818,385.5422460605765,1.0025647664964559,0.002309280255696656,0.0016642053529425855
"z[18, 2024-2025, RI]",0.04786995873093877,0.06021579145468163,-0.04831526331358161,0.14621968911068658,605.3532262384037,382.9651007224493,1.010193937033611,0.0023633472290146857,0.001876147063091753
"z[18, 2024-2025, SC]",0.0223455105445913,0.05721981817530237,-0.06056952088328202,0.11099927304854831,612.4851972576384,361.2491677194497,1.0102956868548332,0.0023197637258150984,0.0017380185382802147
"z[18, 2024-2025, SD]",0.007824895375647793,0.06247816394410993,-0.08586072377281292,0.1092896995491445,640.0197129851931,311.4925079355024,1.0030984312384723,0.002517939019896752,0.0016408830401951307
"z[18, 2024-2025, TN]",-0.013080446526350337,0.06666999468050323,-0.12083356631263598,0.09007400077396574,565.6593960045295,371.36714879053886,1.0098583531494025,0.0028275761356787127,0.002003217579213983
"z[18, 2024-2025, TX]",-0.012119162679090932,0.06214875077279956,-0.10761734101348644,0.0849664740404367,727.9958333295366,342.66180856098583,1.0014645825905235,0.0023035256120110667,0.0015797186798941825
"z[18, 2024-2025, UT]",-0.005848891412053825,0.06562849530968001,-0.11066165428745552,0.09683626907618027,909.5213897133726,397.9430634546922,0.9972616695349176,0.002147556229092953,0.0014639149088153662
"z[18, 2024-2025, VT]",0.0,0.0,0.0,0.0,400.0,400.0,,0.0,
"z[18, 2024-2025, VA]",-0.0037136749484906967,0.04574635156858691,-0.07813144797575415,0.07010612904516075,1040.823996531185,263.0324593943982,1.0238369498566118,0.001419748318091377,0.0009286833989787382
"z[18, 2024-2025, WA]",0.007194398844290021,0.053433636495951606,-0.07748859263799185,0.09094425184059372,927.9986741930139,391.05604412590196,0.9981930562447145,0.0017473118417351031,0.0011027601499090114
"z[18, 2024-2025, WV]",0.03174712785207749,0.056700557743705256,-0.059191595776095784,0.11875815293098707,1040.823996531185,325.54810946075276,1.0109121949056334,0.0017597145724457426,0.001297745839067442
"z[18, 2024-2025, WI]",0.056997424524607904,0.04700410264130556,-0.02101918411364355,0.13168958675782577,845.5317742974138,346.9208877538873,1.0035064427091334,0.0016358968913782555,0.0010597030948701208
"z[18, 2024-2025, WY]",0.07996646175983804,0.05629370712255995,-0.01520466105418713,0.17435773172969277,922.2461779601332,327.80253799496944,1.0101788588865346,0.001850944987764977,0.001275058347232328
"z[18, 2024-2025, PR]",0.08394097749429864,0.05236469706377053,0.0018348101785022751,0.16629291860260378,815.8075807098612,409.56262241712864,0.9999927043389171,0.0018260866985736774,0.0012447824563454602
"z[18, 2025-2026, AL]",0.06583325485758168,0.049966355075353554,-0.009342461581301541,0.14817450478945698,954.5859097812773,371.57716697328806,1.0068204991427125,0.0016516329104856028,0.0012724509245739515
"z[18, 2025-2026, AK]",0.031641628028819084,0.049243134135908403,-0.0485431100541058,0.11348039663128051,790.9078798251832,377.66912733103896,0.9975933659820626,0.0017664960412817482,0.0013320727628616667
"z[18, 2025-2026, AZ]",-0.008109472505492522,0.05110990374336061,-0.09140835148699021,0.06976710396767437,750.2957101150022,278.808979211789,1.013877914840921,0.0018889316446271279,0.0013444403160382944
"z[18, 2025-2026, AR]",-0.02189313438622282,0.048545190590546274,-0.10188966882485531,0.05353649998521921,668.976386224042,354.4610445552209,1.0037168840745185,0.0018794215878302999,0.0013603467254298565
"z[18, 2025-2026, CA]",-0.020249953050599935,0.050437908223587624,-0.1095633314320839,0.05616201255074747,551.6832231910394,360.2410639630933,1.0170987384102252,0.002148936913977029,0.0013864783892326867
"z[18, 2025-2026, CO]",-0.05690226573993721,0.050440882863887246,-0.13944131502342555,0.023989813303424694,919.8953717568237,396.97728337101137,0.9981329086078773,0.001661335679015053,0.0010808147175808847
"z[18, 2025-2026, CT]",-0.11412412628940519,0.047303829906502746,-0.18485791750126962,-0.03591441935062496,866.312288065391,369.17991618328074,1.0220015857323401,0.0016100004903900182,0.001048973551397139
"z[18, 2025-2026, DE]",-0.10642092347681847,0.04702331328386021,-0.18098896486896252,-0.030606809465020635,859.6360351990453,365.6581687268001,1.0015896599156229,0.00176863721367471,0.0012261153428806155
"z[18, 2025-2026, DC]",-0.06541787142590492,0.04439076627931355,-0.1303583993969248,0.005691285952699807,778.8143769000118,387.73383591404473,1.0060180254798088,0.00159244332829153,0.001017171256705874
"z[18, 2025-2026, FL]",0.00716799645587047,0.047535170478002514,-0.0697633456174737,0.08648240876037902,432.0301200374044,335.4187249253437,1.002648322695234,0.0022791050198578827,0.0016206008447810412
"z[18, 2025-2026, GA]",0.03524904944959281,0.04606501046349249,-0.03841596066034772,0.104368386779195,511.4648565681066,272.4769995914161,1.0127548357365321,0.0020172384610143,0.0013627418909187305
"z[18, 2025-2026, HI]",0.04070771778526206,0.04879560881235936,-0.046662112812285064,0.11986964999256486,471.6569836106189,199.24921662595236,1.0237015951862591,0.002358563646280824,0.001707006814619768
"z[18, 2025-2026, ID]",-0.005980338970519392,0.045799377326560455,-0.08385662425657799,0.06705525108064686,633.132608759508,385.26268165351627,0.9954563947664103,0.001807691286695938,0.0012926720778261788
"z[18, 2025-2026, IL]",-0.008994436159650357,0.046027184139765996,-0.08272293432084986,0.06690281072266994,595.3776750107764,230.29058418054464,1.0319291807330693,0.0018778774439095096,0.0013001678994341611
"z[18, 2025-2026, IN]",0.009945541187442154,0.05153069148935402,-0.06953522772190786,0.0872643326920832,738.6517437583306,293.4386157296448,1.001947840805092,0.0018961983056227218,0.0012567765624441546
"z[18, 2025-2026, IA]",0.025272680276998846,0.04641102065571486,-0.048564483715324465,0.1012337462276822,646.9472019933427,313.53439783335915,1.0065858864414272,0.0018383850645295155,0.0013782069003313044
"z[18, 2025-2026, KS]",0.007490394642407742,0.04976056145517645,-0.07157133900315948,0.08149738781002572,479.22915249342697,288.87119537911616,1.0282004069014266,0.002240935930314981,0.0013444631964614764
"z[18, 2025-2026, KY]",-0.0342441149651122,0.0471787528067698,-0.10895771868779391,0.04308434725313781,502.14666712689495,341.29540611526835,1.0097096053576462,0.002134798143379776,0.001400077023918678
"z[18, 2025-2026, LA]",-0.0216811375225351,0.04671878461710187,-0.09350420137449342,0.053238722612093864,573.1588188643955,273.7937950685281,1.0101942756070752,0.0019697355707388314,0.001476789677592399
"z[18, 2025-2026, ME]",-0.009825427356311952,0.050711450669779626,-0.0965393471592124,0.07572851532233106,631.7925364156696,276.5616334761783,1.004402770222123,0.0020134480120564727,0.001407400639655432
"z[18, 2025-2026, MD]",0.014049768634406302,0.049395041192001596,-0.06476933199536748,0.0977912337561468,544.7623090436382,328.0338000228896,1.0218617298830377,0.0020928297083690206,0.0012709590126656848
